country	female	male	BMI_sex_difference
Namibia	25.02518	22.4987	-2.5264799999999994
Libya	29.08073	26.44751	-2.633219999999998
Zimbabwe	24.63906	21.97405	-2.6650100000000023
Tunisia	27.82789	25.03337	-2.7945199999999986
South Africa	29.31084	26.51022	-2.8006199999999986
Gambia	24.61564	21.54302	-3.0726200000000006
Jamaica	27.1298	23.91519	-3.2146100000000004
Egypt	29.95573	26.64671	-3.3090200000000003
Mauritania	26.13082	22.53522	-3.595600000000001
Botswana	25.99615	21.98606	-4.010090000000002
Lesotho	26.69811	21.76567	-4.93244
Swaziland	28.34144	23.05694	-5.284499999999998
